Formula,T,Seebeck,s,k,ZT
Sr0.21Co4Sb12.25,450,-156,178636,4.11,0.476
S0.04Pd0.20Co3.80Sb11.99,300,-189,85300,3.2,0.3
Sn0.91Mn0.09Te0.98I0.02,424,80.93,178974,3.023,0.164
In0.01Pb0.99Te0.998I0.002,663,-247.7,16984,1.346,0.511
Tl0.1Co4Sb12,250,-159,86325,3.927,0.139
Ba8.02Cu4.98Si35Ge5.99,713,-94.63,90500,2.29,0.256
In4Se2.32Cl0.03,323,-213.1,31000,1.247,0.368
Ag0.8Sb0.8Pb18.3Te20.0,423,-337,4608,0.856,0.259
Cu7P(S0.55Se0.45)6,325,283.43,398,0.237,0.044
Cr2Ge2Te6,812,264.95,3257.8,0.63,0.295
Rb2Bi8Se12.9935Cl0.0065,724,-250,4007,0.495,0.366
Sr0.11Ba0.18Co4Sb12.09,750,-158,222273,3.9,1.067
Hf0.8Ti0.2CoSb0.8Sn0.2,1088,228,49500,2.75,1.012
Sn0.93Pb0.06Zn0.01Se,673,525.18,710,0.435,0.303
Yb11Ca2BaMgSb11,400,81.77,23198,0.647,0.096
CuGaTe2,868,240,24300,2.087,0.582
Yb9Ca4BaMgSb11,900,199.7,13550,0.602,0.808
LiCoO2,523,962.76,0.4,5.898,0
In0.005Pb0.995Te0.998I0.002,637,-233.5,18260,1.275,0.5
Mg2.16(Si0.4Sn0.6)0.995Bi0.005,760,-262.6,37600,2.035,0.974
AgSb0.95Mn0.05Te2,342,73.91,79733,1.05,0.142
Sr0.21Yb0.03Co4Sb12.12,600,-158,214545,3.68,0.873
Bi2.0S2.79Se0.21,523,-553,292,0.55,0.085
Cu2Se0.94S0.06,650,194.08,29298,0.77,0.932
Cu7P(S0.65Se0.35)6,523,279.8,1665,0.23,0.296
Sr0.11Ba0.18Co4Sb12.09,500,-130,288636,4.06,0.601
Ta0.84Ti0.16FeSb,970,224,100700,3.522,1.392
(SnTe)8Sb2Te3,323,89.5,147875,2.05,0.187
AgSbTe2,341,96.52,35733,0.941,0.121
Ag2Se1.0025,361,-126,162800,1.048,0.894
Cu3SbSe4,623,303,5650,1.1,0.28
Ag0.97Cr0.99Bi0.01Se2,753,187.83,7618,0.404,0.501
(SnTe)0.9(CuSbTe2)0.1,622,112.3,134400,2.348,0.449
Mg3.5Ho0.03Sb2,300,-192.96,16695,1.237,0.151
SnTe0.15AgSbSe2,400,80.9,136577,2.163,0.165
Cu0.98Pd0.02FeS2,50,-62.75,7134,20.68,0
Li0.03Cu1.85Se,301,38.83,135577,1.851,0.033
Ge0.9Mn0.05Sb0.05Te,773,200.65,73196,1.7,1.34
Ag(Bi0.9Pb0.1)0.9Sb0.1Se2,478,444.44,1000,0.535,0.177
Ag2Te,650,-124.7,41130,0.66,0.634
FeNb0.80Ti0.20Sb,300,72,460000,7.5,0.095
Cu11.5Gd0.5Sb4S13,724,152.33,57372,1.339,0.72
Cu2Se0.98S0.02,450,120.39,62782,0.964,0.425
Cu2Zn0.2Fe0.8SnSe4,673,238.73,4134,0.78,0.203
In0.01Pb0.99Te0.994I0.006,481,-192.5,42100,1.561,0.481
Sn0.96Pb0.01Cd0.035Se,300,313.58,2508,0.885,0.084
(CaZn0.4Ag0.2Sb)0.95(LiZnSb)0.05,472,122.91,52953,1.037,0.364
Cu2.05Cd0.95SnSe4,650,165.3,15510,0.7,0.394
Mg3.07Sb1.5Bi0.46Se0.04,400,-297.93,8149,0.707,0.409
Sn0.96Pb0.03Zn0.01Se,473,515.6,1137,0.662,0.216
BaBiTe2.95Se0.05,597,-197.3,7430,0.41,0.421
In4Se2.67Cl0.03,573,-179.2,33333,0.618,0.996
Ag3.7Mo9Se11,350,74,55400,1.18,0.09
Ba0.15Yb0.01Co4Sb12.08,800,-190,100000,2,0.8
Li1.01Co0.85Ni0.15O2,523,291,1.8,1.292,0
Nb0.9Ta0.1CoSn0.9Sb0.1,430,-111.1,129362,5.015,0.137
Cu2Se0.98S0.02,650,179,35684,0.858,0.866
(PbTe)0.1(Ag2Te)0.9,450,-120.3,42089,0.53,0.517
Cu2Se0.92S0.08,1000,279.47,13496,0.55,1.917
As2Te2.6Se0.4,523,265.5,2420.5,0.5,0.178
Al0.03Ge0.97Te,673,111.96,262500,3.919,0.565
Sn0.91Mn0.08Bi0.01Te,773,144,116000,2.48,0.75
Cu3Sb0.95Ge0.05S4,473,268.3,8355,1.134,0.251
Cu7PSe6,673,231,3401,0.333,0.366
Ca0.1BaGd1.9NiO5,1037,180.15,217.51,1.835,0.004
BaGd2NiO5,1179,519.85,34.69,1.417,0.008
Ag0.01Cu1.965S0.5Se0.5,375,136,7059,0.622,0.079
NbCoSn0.9Sb0.1,338,-85.7,149078,6.708,0.055
Sb2Si2Te6,573,191.9,19404,0.657,0.623
Eu14MgBi11,621,57.5,49660,1.633,0.062
Cr1.99Fe0.01Ge2Te6,614,365.98,1515.63,0.657,0.19
LiCo0.85Ni0.15O2,323,200,0.03,1.693,0
Ca14MgBi11,717,74.55,30041,1.112,0.108
Sn0.97Ce0.03Te,323,47,353200,4.175,0.06
Mg1.98Ag0.02Zn0.98Sb2,673,162.4,29841,0.921,0.575
Mg3.5Ho0.03Sb1.97Te0.03,700,-256.1,16667,0.747,1.024
Sn0.98In0.02Se,573,502,90,0.62,0.019
Eu0.10Co4Sb12,300,-171,51600,3.8,0.1
Yb13.44Ce0.4Mn1.09Sb11.07,873,199.05,13840,0.664,0.721
NbCoSn0.9Sb0.1,728,-140,110000,5.063,0.31
Mg1.98K0.02Zn0.98Sb2,773,184.66,17143,0.874,0.517
Sn0.97Mn0.03Te,723,120.24,146746,3.421,0.448
ZrNiPb0.985Bi0.015,475,-122.05,261850,8.361,0.222
Ca5In1.98Zn0.02Sb6,522,287.7,5340,0.812,0.282
Tl4PbTe3,473,95,27500,0.73,0.156
Zn0.96Al0.04O,673,-88,42350,2.67,0.083
Sr14.8Ga28.6Ge56.6,613,-112.5,79260,2.415,0.255
Sb0.1Ge0.9Te,323,138.5,63300,1.564,0.24
(Cu0.005Pb0.995Te)(MnTe)0.03,773,-168.42,70000,1.557,0.986
Nb0.75Ta0.25CoSn0.9Sb0.1,826,-172.76,80426,3.722,0.533
YbCd1.1Zn0.9Sb2,550,125.05,86111,1.4,0.502
(Sn0.8Ge0.2)0.8Mn0.2Te,873,153,78800,1.512,1.06
Ba8.02Cu5.04Si6Ge34.93,665,-124.7,52000,1.4,0.384
Cu2.82Ag0.18SbSe4,498,395,6222,0.9,0.537
Sr0.16Yb0.03Co4Sb11.82,700,-180,168182,3.41,1.119
Tl9.0Bi0.97Te6.0,325,152.48,34090,0.59,0.437
As2Te2.6Se0.4,373,228,1418,0.537,0.049
Ge9Sb2Te12,625,112.88,120000,2.823,0.338
Zn0.97Al0.03O,573,-85,40800,5.96,0.028
AgCuTe0.7Se0.3,320,200.48,20194,0.468,0.547
GeSe0.5Te0.5,728,121.36,128731,2.452,0.563
Cu1.95S0.5Se0.5,578,100.8,76634,1.396,0.322
Cu1.99S0.5Se0.5,375,167.68,3861,0.517,0.079
AgBiSe2.0,425,-177.3,7620,0.674,0.151
Cu22Sn10S32,600,86.56,127208,2.34,0.244
Mg1.98K0.02Zn0.98Sb2,300,205.82,10688,0.741,0.183
Cu2.88Ag0.12SbSe4,423,394,7716,1.29,0.4
Mg0.99Li0.01Ge0.9Si0.1,500,317.45,10846,3.5,0.156
Bi0.42Sb1.58Te3,473,217.8,27930,1.115,0.562
(CaZn0.4Ag0.2Sb)0.95(LiZnSb)0.05,573,144.85,39394,0.91,0.521
Cu2CdSnSe4,450,244.8,3328,1.74,0.052
Cu2Zn0.8Fe0.2SnSe4,373,281.03,26.67,2.5,0
Sb0.15Ge0.85Te,823,257.04,46300,1.582,1.591
ZrNiPb,475,-260.8,16570,5.768,0.093
Rb2Bi8Se12.9415,625,-217.7,6439,0.587,0.325
Ta0.98Ti0.02FeSb,304,181.8,43600,8.52,0.051
(SnTe)15Sb2Te3,323,55.34,293376,3.54,0.082
Ba8.02Cu5.04Si6Ge34.93,814,-138,42180,1.39,0.472
Ag0.03Cu1.945S0.5Se0.5,475,166.23,6176,0.672,0.083
Ti0.9Mn0.1NiSn0.9Sb0.1,797,-132.32,217881,5.55,0.548
Mg0.95Li0.05Ge0.9Si0.1,400,277.2,10320,3.686,0.086
(Sn0.8Ge0.2)0.8Mn0.2Te,298,60.2,161000,2.227,0.078
Ag0.97CrSe2,303,85.49,26857,0.498,0.119
Pb0.99Tl0.005Na0.005Te,301,115.3,81560,2.472,0.132
Cu10.5Ni0.5ZnSb4S13,715,234.3,10300,0.502,0.81
Ba0.11Yb0.08Co4Sb12.08,300,-107,211400,0.9,0.3
Bi0.92Pb0.08CuSeO,250,88.14,88916,2,0.086
Ca1.58Yb3.42Al2Sb6,563,42.54,21845,3.5,0.006
Ca11Sb10,327,19.56,824.7,0.781,0
Mg3.07Sb1.5Bi0.44Se0.06,400,-304.3,7481,0.793,0.349
Zn2Cu3In3Te8,620,187,13830,1.314,0.228
CuGa0.97Mn0.03Te2,375,183.7,24290,5.234,0.059
Ba8.03Cu5Ge40.97,613,-156.7,32900,1.254,0.395
Li0.03Cu1.83Bi0.02Se,761,92.25,131034,1.661,0.511
LiGe11.5Sb2Te15,373,205.4,41580,1.352,0.484
Ba8Cu5.18Si9.98Ge30.85,415,-90.4,69900,1.67,0.142
Sn1.03Se0.12Te0.87Br0.01,423,33.2,450000,3.918,0.054
Yb10Ca3BaMgSb11,500,116.58,17877,0.592,0.205
Eu2Zn0.96Sb2,623,195,16224,0.466,0.825
Cu26Ti2Sb4Ge2S32,677,200,30159,0.902,0.905
(PbTe)(MnTe)0.03,723,-262.28,22897,1.109,1.027
Ag3.9Mo9Se11,645,166.1,18600,0.75,0.441
Zn0.9Cd0.1Sc0.02O1.03,973,-139,32000,3.26,0.185
Al0.03Ge0.97Te,823,140.3,178571,3.198,0.889
Ba8.04Cu4.9Si3.23Ge37.83,517,-99.5,71000,1.522,0.237
Ag0.97Cr0.99Bi0.01Se2,403,92.8,16549,0.463,0.124
YbCd1.2Zn0.8Sb2,650,141.2,72900,1.253,0.77
LiCoO2,723,768.28,4.34,4.006,0
Bi2Te3,306,-114.53,45000,0.957,0.189
Sn0.91Mn0.09Te0.98I0.02,720,164.95,78974,1.802,0.859
Ag0.01Sn0.99Se,666,405.56,845,0.292,0.317
Ta0.84Ti0.16FeSb,570,165.5,202600,4.4,0.719
Mo3Sb7I1.5,623,28,392400,5.39,0.036
Sn0.985In0.015Te,323,53.28,559551,6.378,0.08
Sn0.99Mn0.01Te,719,96.48,191716,4.105,0.313
Mg2Sn0.99Sb0.01,444,-133,289400,4.78,0.476
Se0.1Co4Sb11.8Se0.2,300,-327,6500,3.2,0.1
Tl0.22Co4Sb12,100,-53.7,214894,3.9,0.016
Cu2Sn0.9Zn0.1S3,423,92.7,46850,1.588,0.107
Li0.03Cu1.82Bi0.03Se,711,90.5,119540,1.732,0.402
Mg2Sn0.99Sb0.01,646,-170.86,167544,4.428,0.714
Mg3Sb1.9Bi0.1,332,278,302,1.32,0.006
Mg2ZnSb2,573,100,3179,0.866,0.021
Ba0.11Yb0.08Co4Sb12,600,-159,135100,2.346,0.864
TiNiSn,323,-82.8,60470,4.38,0.031
Yb14MnSb11,1125,178,19632,0.94,0.744
Mg2.16(Si0.4Sn0.6)0.995Bi0.005,520,-240.2,51744,1.775,0.875
Pb0.99Tl0.01Te,397,167.53,47296,1.818,0.29
LiCo0.98Ni0.02O2,923,641.1,59.68,1.58,0.014
MgAgSb0.985In0.015,400,178.36,65045,1.19,0.696
Ba8Ga15.88Zn0.007Sn30.12,460,389.1,13000,0.886,1.022
Mg3.5Gd0.04Sb2,400,-250,14893,0.91,0.409
AgBi0.85Sb0.15Se2,400,561,25.9,0.388,0.008
SnTe0.15AgSbSe2,600,123.3,89000,1.8,0.451
La0.2Ca0.8TiO3,538,-92,118800,3.41,0.159
Sn0.97Pb0.01Cd0.025Se,673,415.67,1651,0.477,0.402
Al0.01Sb0.1Ge0.89Te,773,262.1,51647,1.38,1.962
Pb0.97Tl0.015Na0.015Te,798,247.06,31811,0.809,1.915
AgSb0.99Mn0.01Te2,394,106.67,44933,0.936,0.215
Sn0.92Ge0.04As0.04Te,869,109,185200,3.529,0.751
(SnTe)8Sb2Te3,723,178.46,70886,1.73,0.943
(SnTe)8Sb2Te3,673,175.7,72700,1.66,0.91
(GeTe)0.8(AgSnSe2)0.2,523,44.7,216700,2.6,0.087
(CaZn0.4Ag0.2Sb)0.91(LiZnSb)0.09,371,119.33,45139,0.91,0.262
Sb0.15Ge0.85Te,673,246.6,40750,1.51,1.104
BiCu0.925SeO,923,304,2550,0.875,0.257
Mg0.95Li0.05Ge0.9Si0.1,300,239,13615,4.943,0.047
Li0.03Cu1.85Se,706,63.55,192308,2.47,0.222
TmCuTe2,410,91.4,75267,1.386,0.186
Bi0.96Pb0.02Yb0.02CuSeO,747,207.89,11098,0.517,0.693
Ag(Bi0.8Pb0.2)0.9Sb0.1Se2,526,183.33,709,0.507,0.025
(GeTe)0.8(AgSnSe2)0.2,323,30.43,223226,2.029,0.033
Ca2Yb9Sb9Ge,608,21.48,842.86,2.224,0
Cu2.88Ag0.12SbSe4,298,338,13611,2,0.232
Sn0.975Pb0.01Cd0.015Se,873,322.52,6032,0.524,1.045
Ba8Cu5.04Si13.01Ge27.96,615,-111.94,61210,1.821,0.259
Ag0.01Cu1.965S0.5Se0.5,475,120.74,10221,0.726,0.097
Br0.16Co4Sb11.34Te0.52,850,-207,91000,1.6,1.1
CoAsSb,350,-118,17720,2.819,0.031
GeSe0.75Te0.25,728,88.3,66791,1.762,0.215
Ag2.0Se0.6Te0.4,300,-107,75500,0.67,0.387
FeNb0.92Zr0.08Sb,1100,270.63,59800,6.27,0.768
Cu2ZnSn0.98Ag0.02Se4,673,133.7,36730,2.907,0.13
FeNb0.88Hf0.12Sb,400,115.7,435000,7.05,0.335
Cu2.82Ag0.18SbSe4,298,329,11329,1.75,0.209
Sn1.03Se0.12Te0.875Br0.005,323,21.2,561404,4.962,0.016
NbCoSn0.9Sb0.1,973,-179.8,98980,3.53,0.61
Nb0.88Hf0.12FeSb,301,93.7,589360,4.82,0.19
(SnTe)10Sb2Te3,673,178.5,78800,1.62,1.043
AgCuSe,479,206.37,11232,0.483,0.474
Cr2Ge2Te6,416,514.43,218.75,0.829,0.029
Ba8.01Ga15.88Zn0.009Sn30.11,380,407.75,6797,0.849,0.506
Sn0.8Ge0.2Te,773,109,156700,3.454,0.417
Ba0.16In0.12Co4Sb11.85,300,-143,172100,1.8,0.4
Li1.1Co0.85Ni0.15O2,623,269,34.43,2.445,0.001
In3.99Pb0.01Se3,518,-252,11111,0.88,0.415
Ag3.5Mo9Se11,350,69.75,57600,1.22,0.08
Ag8Sn0.7Ga0.3Se6,572,-296.6,1424,0.278,0.258
AgBiSe2,300,-526.04,6.47,0.53,0.001
(Cu3SnS4)0.895(Ga2Te3)0.105,554,88.89,122476,2.357,0.227
BiCuSeO,150,110.31,2.58,2.102,0
Sn1.03Se0.15Te0.85,823,149.33,63158,2.172,0.528
AgSb0.95Mn0.05Te2,297,56.7,87973,1.036,0.081
Ag(Bi0.85Pb0.15)0.7Sb0.3Se2,576,424.32,767,0.524,0.152
Ge0.55Pb0.45Te,373,63.35,63830,2.134,0.045
Ba0.5Cr5Se8,389,258.16,471,1.167,0.01
Ba0.9K0.1Zn2As2,323,27.16,213333,3.925,0.013
Ge4Sb2Te7,473,71.9,138764,1.942,0.175
Cu2ZnSn0.925Ag0.075Se4,373,52.96,71429,3.314,0.023
Ba8.03Cu5Ge40.97,564,-146.5,35600,1.237,0.348
Mg0.98Li0.02Ge0.8Si0.2,300,326.5,2308,4.302,0.017
Cu3P0.8Ge0.2S4,350,85,32250,1.035,0.079
Ca0.1BaGd1.9NiO5,839,167.65,168.75,1.919,0.002
YbCd1.3Zn0.7Sb2,350,109.69,98726,1.556,0.267
EuCd2Sb2,350,246,10417,1.224,0.18
BaCu3.96S3.0,400,68,23454,0.714,0.061
Ag1.1Sb0.8Pb15.5Te22.6,423,360,4350,1.048,0.228
Hf0.8Ti0.2CoSb0.8Sn0.2,682,217,50000,2.73,0.589
Cu2Se0.88S0.12,333,117.3,62300,0.564,0.501
La0.25Ca0.75TiO3,1016,-185,26000,2.65,0.341
Ba0.96K0.04Zn2As2,523,72.22,72727,2.071,0.096
ZrCo0.9Ni0.1Bi0.85Sb0.15,972,-212,68790,1.86,1.04
K0.98Ba0.02GaSb4,324,-123.13,27342,1.252,0.107
Cu3SbSe4,622,275.43,5847,1.36,0.182
MgAgSb,550,175.82,52000,1.084,0.816
Ti0.99Mn0.01NiSn0.99Sb0.01,498,-158.1,100000,5.524,0.225
(Cu0.004Pb0.996Te)(MnTe)0.03,723,-158.77,74897,1.557,0.877
Ag0.01Sn0.99Se0.65S0.35,616,470.94,262,0.184,0.195
MgAgSb0.995In0.005,400,195.45,41091,1.028,0.638
SnTe0.2AgSbSe2,650,137.55,68456,1.08,0.83
Ag0.9Sb0.9Pb18.3Te19.9,473,-320,5800,0.91,0.309
CoAsSb,600,-119,49815,3.467,0.122
LiCoO2,623,851.03,1.46,4.546,0
Ba8Cu5.18Si9.98Ge30.85,566,-119,56800,1.67,0.271
CoAsSb,450,-132.3,28361,2.889,0.077
Ag8SnSe6,523,-342.7,1254,0.312,0.247
Sn0.99Mn0.01Te,424,36.33,521893,7.513,0.039
Mg2.16(Si0.4Sn0.6)0.97Bi0.03,800,-216.8,89150,2.33,1.439
Ba0.5Cr5Se8,862,225,2265,0.867,0.114
Cu2ZnSn0.95Ag0.05Se4,573,65.9,164800,2.56,0.16
Ti0.97Mn0.03NiSn0.97Sb0.03,398,-112.2,142384,5.631,0.127
Bi0.96Ag0.04CuSeO,473,275.2,1483,0.526,0.101
Ba0.10La0.05Yb0.15Co4Sb12,300,-104,305800,1.2,0.3
Ag3.5Mo9Se11,547,107.6,41500,1.15,0.227
Ba0.95K0.05Zn2As2,523,52.47,114286,2.957,0.056
In4Se2.67Cl0.03,648,-208.24,29137,0.6,1.365
Ag(Bi0.85Nb0.15)0.7Sb0.3Se2,326,-153,9120,0.742,0.094
Mg2.16(Si0.4Sn0.6)0.97Bi0.03,400,-142.9,172700,2.546,0.554
GeSe0.85Te0.15,678,40,55597,1.733,0.035
Bi1.2Sb0.8Se2.76Cl0.24,600,-168,19392,0.62,0.53
Bi0.84Pb0.08Yb0.08CuSeO,543,121.38,20000,0.583,0.274
(Zr0.4Hf0.6)0.88Nb0.12 CoSb,300,-98.9,139140,3.86,0.08
AgBi0.9Sb0.1Se2,576,-216.67,7286,0.381,0.517
Al0.005Sb0.1Ge0.895Te,323,137.1,60964,1.527,0.242
As2Te3,298,118.81,185.29,0.854,0.001
Yb0.5Co4Sb12,823,-170,151000,1.4,1
Ba0.98K0.02Zn2As2,423,94.4,103226,2.383,0.163
(GeTe)0.7(AgSnSe2)0.3,623,54,65800,1.337,0.089
Cu2Sn0.8Zn0.2S3,423,61,116712,2.258,0.081
ZrNiPb0.92Sn0.6Bi0.02,871,-168.66,178450,5.967,0.741
Cu7P(S0.65Se0.35)6,623,298.22,1693,0.229,0.41
SnSe0.9S0.1,773,339.94,4182,0.587,0.651
Li0.03Cu1.8Bi0.05Se,401,52.25,67816,1.214,0.061
MgAgSb0.98In0.02,400,160.73,68288,1.308,0.592
Gd2Se2.94,650,-147.8,20300,1.374,0.21
Cu3P0.7Ge0.3S4,400,78,54300,1.26,0.105
(Cu0.003Pb0.997Te)(MnTe)0.03,423,-202.81,59586,1.568,0.661
Pb0.99Na0.01Te,397,99.68,157763,2.694,0.231
Ga0.06Co4Sb11.97Ga0.03,600,-315,18800,2.2,0.5
AgBi0.7Sb0.3Se2,478,-327.78,1125,0.455,0.127
Ag0.01Sn0.99Se0.65S0.35,418,359.4,463,0.233,0.107
Ba0.06La0.05Yb0.06Co4Sb12,850,-211,104600,1.1,1.4
Se0.1Co4Sb11.8Se0.2,800,-175,20200,2.7,0.2
(Cu3SnS4)0.915(Ga2Te3)0.085,331,47.47,186400,3.841,0.036
Mg2.16Si0.4Sn0.6,760,-145.5,12950,2.41,0.085
Ag0.98Nb0.02BiSe2.0,528,-189.2,7853,0.61,0.243
Sn0.965Pb0.01Cd0.025Se,723,385.1,2635,0.41,0.689
Cu1.875Ag0.125SnSe3,600,268.69,2724,0.511,0.231
Cu2Se0.94S0.06,850,247.7,18352,0.703,1.35
YbCd1.6Zn0.4Sb2,650,177.35,54233,1.196,1
CuFe0.96In0.04S2,510,-355.2,4244,2.38,0.115
Bi1.94Nb0.06Te3,478,-115.07,63529,0.852,0.472
Cu2Se0.88S0.12,550,186,25303,0.678,0.71
Sr14.1Ga29.6Ge56.3,463,-140.5,54450,1.51,0.33
Ag8Sn0.5Ga0.5Se6,673,-175.93,13168,0.304,0.902
Cu2Se,333,85.1,122500,1.064,0.278
Ag3.7Mo9Se11,743,143.8,31700,1.109,0.439
ZrNiPb0.96Sn0.2Bi0.02,771,-148.9,231000,6.05,0.653
Ba8.01Ga15.83Zn0.019Sn30.15,540,485.76,4254,1.033,0.525
Yb13.6Ce0.363Mn0.99Sb11.05,873,180,18149,0.775,0.662
Cu7P(S0.5Se0.5)6,673,280,4079,0.286,0.752
In0.225Co4Sb11.925,800,-234,64000,1.8,1
Ba0.11Yb0.03Co4Sb12,700,-175.5,111170,3.038,0.78
Ca3Co4O9,900,190.7,7576,2.264,0.11
CuGa0.97Mn0.03Te2,425,198.9,23250,4.163,0.094
Mg3.5Gd0.03Sb1.97Te0.03,500,-251.76,17655,0.78,0.717
Bi2.0S2.85Se0.15,523,-508,530,0.57,0.125
Ca14MgBi11,817,79.25,32088,1.328,0.124
Cu2.94Ag0.06SbSe4,423,439,4615,1.42,0.265
In0.015Pb0.985Te0.998I0.002,533,-235.5,15900,1.43,0.326
As2Te2.9Se0.1,423,158.42,1508.59,0.6,0.026
Ag(Bi0.8Nb0.2)0.9Sb0.1Se2,676,-156,23635,0.609,0.638
Cu2Se0.96I0.04,410,115.56,40864,0.788,0.284
Zn0.85Cd0.15Sc0.02O1.03,673,-86,19200,4.42,0.022
BiSb(Se0.92Br0.08)3,600,-181,19000,0.51,0.732
Tl2GeTe3,323,201,2850,0.311,0.117
Hf0.7Ti0.3CoSb0.8Sn0.2,574.6,206.3,48900,2.83,0.423
BiSb(Se0.92Br0.08)3,800,-203,17340,0.44,1.299
Sr15Ga29.5Ge55.6,568,-196.6,26375,1.21,0.479
Ca0.1BaGd1.9NiO5,636,175,104.46,2.061,0.001
Mo3Sb7I1.25,720,50.7,422250,6.031,0.129
Bi0.96Ag0.04CuSeO,373,249,1565,0.57,0.063
Ca0.15BaGd1.85NiO5,1084,194.12,456.71,1.621,0.012
Cu3Sb0.9875Ge0.0125S4,300,351.65,1580,1.903,0.031
CrO0.09N0.9,100,-36.35,17934,3.06,0.001
AgSbTe2,537,165.04,35467,1.063,0.488
Ag8Sn0.4Ga0.6Se6,474,-442.9,295,0.274,0.1
Cu26V2Ge5SbS32,594,89,155100,2.484,0.294
TiZr0.015NiSn,323,-140,34615,2.568,0.085
Al0.02Ge0.98Te,473,64.82,380357,5.253,0.144
Gd2Se2.94,750,-162.3,18300,1.253,0.289
K0.38Co4Sb12,800,-199,122000,2,1
Ca1.55Yb3.45Al2Sb6,420,177.07,419,0.908,0.006
LiCo0.98Ni0.02O2,1023,527.4,157.86,1.409,0.032
(CaZn0.4Ag0.2Sb)0.91(LiZnSb)0.09,873,178.88,23713,0.604,1.096
Zn0.97Al0.03O,673,-94,37500,5.38,0.051
Sb0.15Ge0.85Te,573,237.8,28349,1.309,0.702
Cu1.95In0.05Se,672,325.25,2703,1.638,0.194
Mg2Zn0.96Sb2,573,207.89,9503,0.734,0.32
(Cu3SnS4)0.875(Ga2Te3)0.125,331,75,93015,2.407,0.072
K0.995Ba0.005GaSb4,324,-183,1633,0.873,0.02
TiZr0.005NiSn,522,-183,60000,2.584,0.431
Yb10Ca3BaMgSb11,800,176.52,13582,0.619,0.547
Ca9Yb2Sb10,513,14.37,56327,0.847,0.007
Mg2Zn0.98Sb2,473,283.55,5132,0.671,0.291
Cu2Se0.7S0.3,520,69.8,107429,1.285,0.212
Tl9.0Sb1.0Te6,502,193,22636,0.5,0.847
Rb2Bi8Se12.974Cl0.026,625,-128.4,13470,0.71,0.195
Ba0.11Yb0.03Co4Sb12,500,-153.7,130800,3.234,0.478
Ti0.9Mn0.1NiSn0.9Sb0.1,498,-100.97,292053,6.087,0.244
Mg2.975Na0.025Sb2,573,126,37200,1.345,0.252
Mg3.5Ho0.01Sb1.97Te0.03,700,-297.8,10755,0.728,0.917
Cu3Sb0.925Ge0.075S4,473,225.5,16180,1.193,0.326
In4Se2.32Cl0.03,598,-292.8,12460,0.743,0.86
Gd2Se2.94,550,-130.4,24850,1.532,0.152
Ag0.01Cu1.965S0.5Se0.5,673,168.93,38529,0.907,0.816
Sn0.99Mn0.01Te,332,30.08,701775,8.461,0.025
TmCuTe2,363,83.3,86200,1.5,0.145
Sn0.87Mn0.1Bi0.03Te,523,94,179200,3.656,0.227
K0.995Ba0.005GaSb4,416,-231.6,3942,0.803,0.11
Mg3.5Ho0.02Sb1.97Te0.03,300,-217.96,25916,1.143,0.323
Mg3.5Gd0.045Sb2,600,-257.39,17082,0.851,0.798
Cu2Se0.98S0.02,550,150,47443,0.902,0.651
(Bi0.23Sb0.77)2Te3,500,186.74,30882,1.19,0.452
Li0.01Cu1.85Se,399,22.73,467308,3.318,0.029
(SnTe)20Sb2Te3,623,117.5,136400,2.81,0.418
Mg3.5Gd0.03Sb2,400,-221.07,19150,0.99,0.378
Ag0.02Cr1.98Se3,512,142.8,28571,1.525,0.2
Sr15Ga29.5Ge55.6,468,-184,30610,1.045,0.463
Sn0.97Pb0.01Cd0.025Se,723,398,2333,0.482,0.554
Ag0.02Cu1.955S0.5Se0.5,475,135.74,7279,0.691,0.128
Ti0.925Mn0.075NiSn0.925Sb0.075,697,-114.81,215894,5.966,0.332
Ta0.84Ti0.16FeSb,870,212.7,114485,3.69,1.221
Ca5In2Sb6,620,422,1000,0.688,0.156
Cu2CdSnSe4,500,251.3,3466,1.52,0.072
SnTe,400,39.66,660577,7.365,0.056
Ca14MgSb11,900,160.37,6840,0.704,0.225
Eu14MgBi11,424,34.77,54887,1.543,0.018
Sn0.98In0.02Se,423,440,46,0.716,0.005
Cu2Se0.94S0.06,372,125,63740,0.468,0.792
Cu7P(S0.75Se0.25)6,422,359.17,190,0.188,0.055
(SnTe)0.96(CuSbTe2)0.04,321,28.57,441207,5.627,0.021
Ta0.94Ti0.06FeSb,770,240.3,76500,4.365,0.785
AgBi0.95Sb0.05Se2,400,-377.66,20.9,0.438,0.003
Ba0.08Yb0.09Co4Sb12,700,-184,122000,2.41,1.2
Nd2.84Te4,1173,-162.8,35950,1.419,0.788
Li2Ge3Sb2Te7,723,253.33,25556,0.812,1.469
Nd2.92Te4,973,-87.1,104516,2.5,0.309
Cu1.6S,400,20,406250,4.11,0.016
K0.985Ba0.015GaSb4,602,-228.9,15796,0.707,0.705
Li0.02Cu1.85Se,399,36.23,220192,3.358,0.034
Cu5SnSbSe6.3,723,93.87,80769,1.86,0.298
Cu26V2Ge4Sb2S32,674,141,70500,1.67,0.57
Ca5In2Sb6,820,204,3250,0.686,0.124
CuAgTe0.6Se0.4,397,227.17,7651,0.26,0.602
Cu5SnSbSe6.58,673,71.49,164655,2.949,0.192
Ta0.98Ti0.02FeSb,870,305.5,29250,4.717,0.503
K0.985Ba0.015GaSb4,649,-233,14780,0.649,0.802
Zn0.9Cd0.1Sc0.006O1.009,300,-77,56145,8.44,0.012
